Symbol,Price,52 week low,52 week high,Standardized_Price,EBITDA,Standardized_EBITDA,Date first added,Standardized_Date,Dividend Yield,Standardized_Dividend
MMM,189.09,158.28,190.54,0.955052697,8.7,0.133870556,0,0,2.48,0.169514696
ABT,45,36.76,45.83,0.908489526,4.59,0.075561104,23467,0,2.34,0.159945318
ABBV,63.69,54.41,68.12,0.676878191,10.95,0.165791788,41274,0.919640552,4.04,0.276144908
ACN,124.14,102.1,125.72,0.933107536,5.66,0.090741424,40730,0.891545732,1.96,0.133971292
ATVI,48.06,30.37,48.36,0.983324069,2.14,0.040802429,42247,0.969891029,0.64,0.043745728
AYI,205.41,193.06,280.89,0.140612547,0.5862,0.018758335,42493,0.982595672,0.25,0.017088175
ADBE,119.98,83.25,120.69,0.981036325,1.82,0.03626252,35555,0.624283427,0,0
AAP,151.99,132.98,177.83,0.423857302,1.12,0.02633147,42814,0.999173682,0.15,0.010252905
AES,11.33,10.27,13.32,0.347540984,3.42,0.058962063,42194,0.96715385,4.16,0.284347232
AET,130.59,104.59,136.5,0.814791601,6.2,0.09840252,0,0,1.53,0.104579631
AMG,166.56,130.48,179.85,0.730808183,0.835,0.022288114,27941,0.231059237,0.47,0.032125769
AFL,71.95,59.66,74.5,0.828167116,4.78,0.078256675,41821,0.947890306,2.38,0.162679426
A,51.21,37.62,52.26,0.928278689,0.942,0.023806146,0,0,1.02,0.069719754
APD,139.64,123.05,150.45,0.605474453,3.13,0.054847771,36682,0.682487218,2.72,0.185919344
AKAM,63.3,47.8,71.64,0.650167785,0.70798,0.020486054,31167,0.397665651,0,0
